episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm
1,-132.78085408055188,-132.78085408055188,100,0.002288818359375,0.0005,1,reinforce_smoke_seed1,0.002288818359375,1.6510486489096365e-07,1.0,0.00029518711380660534
2,-217.3421300626134,-175.06149207158262,92,-0.00641632080078125,0.0005,1,reinforce_smoke_seed1,-0.00641632080078125,-5.519908654605388e-07,1.0,0.0009505601483397186
3,-238.3727516991966,-196.1652452807873,105,-0.005028247833251953,0.0005,1,reinforce_smoke_seed1,-0.005028247833251953,-3.2470339306200913e-07,1.0,0.0006143635255284607
4,-357.29951711952003,-236.44881324047049,132,0.00274658203125,0.0005,1,reinforce_smoke_seed1,0.00274658203125,1.1740308991647908e-07,1.0,0.00022637886286247522
5,-117.63435125292543,-212.68592084296148,128,-0.00421142578125,0.0005,1,reinforce_smoke_seed1,-0.00421142578125,-1.9278377294540405e-07,1.0,0.0004751158703584224
6,-89.56820550978566,-192.1663016207655,100,-0.002716064453125,0.0005,1,reinforce_smoke_seed1,-0.002716064453125,-1.9371509552001953e-07,1.0,0.00044203735888004303
7,-281.7191147156807,-204.95956063432482,63,-0.0004266500473022461,0.0005,1,reinforce_smoke_seed1,-0.0004266500473022461,-7.379622957159881e-08,1.0,0.00011312156857457012
8,-464.2185818306137,-237.36693828386092,81,-0.0005413293838500977,0.0005,1,reinforce_smoke_seed1,-0.0005413293838500977,-6.622738624173508e-08,1.0,0.00012599975161720067
9,-140.07662901260827,-226.5569039203884,107,-0.0005896091461181641,0.0005,1,reinforce_smoke_seed1,-0.0005896091461181641,-3.843663876068604e-08,1.0,9.466774645261467e-05
10,-154.27058752636327,-219.3282722809859,75,-0.003927946090698242,0.0005,1,reinforce_smoke_seed1,-0.003927946090698242,-5.030631768931926e-07,1.0,0.00027554327971301973
11,-198.0649729323152,-217.39524506747037,67,0.0010695457458496094,0.0005,1,reinforce_smoke_seed1,0.0010695457458496094,1.6013187575936172e-07,1.0,0.00030439122929237783
12,-259.9029451677233,-220.9375534091581,82,-0.0031037330627441406,0.0005,1,reinforce_smoke_seed1,-0.0031037330627441406,-3.430901642786921e-07,1.0,0.00028632659814320505
13,-116.05636459790404,-212.86976965444626,96,-0.000885009765625,0.0005,1,reinforce_smoke_seed1,-0.000885009765625,-7.450580596923828e-08,1.0,7.41038893465884e-05
14,-205.8514199066327,-212.36845895817387,134,-0.0017571449279785156,0.0005,1,reinforce_smoke_seed1,-0.0017571449279785156,-6.850086009535516e-08,0.9999999403953552,8.877400978235528e-05
15,-299.73169863079966,-218.1926749363489,98,0.011928558349609375,0.0005,1,reinforce_smoke_seed1,0.011928558349609375,8.977189622783044e-07,1.0,0.0015953645342960954
16,-263.18715565759436,-221.00482998142675,108,-0.00469970703125,0.0005,1,reinforce_smoke_seed1,-0.00469970703125,-2.93608053425487e-07,1.0,0.0006548795499838889
17,-490.2164348964622,-236.84080674113474,99,0.004212379455566406,0.0005,1,reinforce_smoke_seed1,0.004212379455566406,3.058501079067355e-07,1.0,0.0009781483095139265
18,-89.68145038134311,-228.6652869433685,104,0.000244140625,0.0005,1,reinforce_smoke_seed1,0.000244140625,2.2924863785078742e-08,1.0,3.013036803167779e-05
19,-181.88733777244605,-226.20328961858314,69,0.00693899393081665,0.0005,1,reinforce_smoke_seed1,0.00693899393081665,1.0659729241524474e-06,1.0,0.0008415026240982115
20,-87.43083548124451,-219.26466691171623,71,-0.0006542205810546875,0.0005,1,reinforce_smoke_seed1,-0.0006542205810546875,-8.64687095258887e-08,0.9999999403953552,0.00010739283607108518
